ID;ID_MEDICO;VISITADO
361;497;NÃO
362;498;NÃO
363;499;SIM
364;501;SIM
365;502;NÃO
366;503;NÃO
367;504;NÃO
368;505;NÃO
369;506;SIM
370;507;NÃO
371;508;NÃO
372;509;SIM
373;510;NÃO
374;511;NÃO
375;512;NÃO
376;513;NÃO
377;514;NÃO
378;11099;NÃO
379;515;NÃO
380;516;NÃO
381;517;NÃO
382;518;NÃO
383;519;NÃO
384;520;NÃO
385;521;NÃO
386;522;NÃO
387;523;NÃO
388;524;NÃO
389;525;NÃO
390;526;SIM
391;527;NÃO
392;528;NÃO
393;529;NÃO
394;531;NÃO
395;532;SIM
396;533;NÃO
397;534;NÃO
398;535;NÃO
399;536;NÃO
400;537;NÃO
401;538;NÃO
402;539;NÃO
403;540;NÃO
404;15717;NÃO
405;15718;NÃO
406;541;NÃO
407;542;NÃO
408;544;SIM
409;545;SIM
410;546;SIM
411;547;NÃO
412;548;SIM
413;549;NÃO
414;551;NÃO
415;552;NÃO
416;553;NÃO
417;554;NÃO
418;555;NÃO
419;556;NÃO
420;557;NÃO
421;559;NÃO
422;560;NÃO
423;561;SIM
424;562;NÃO
425;563;NÃO
426;564;NÃO
427;565;NÃO
428;567;NÃO
429;568;SIM
430;569;NÃO
431;570;NÃO
432;571;SIM
433;572;NÃO
434;573;NÃO
435;574;NÃO
436;575;NÃO
437;576;NÃO
438;577;NÃO
439;578;NÃO
440;580;NÃO
441;581;NÃO
442;582;NÃO
443;583;NÃO
444;584;NÃO
445;585;NÃO
446;586;SIM
447;587;NÃO
448;588;NÃO
449;589;NÃO
450;609;NÃO
451;610;NÃO
452;611;NÃO
453;612;NÃO
454;613;NÃO
455;614;NÃO
456;615;NÃO
457;616;NÃO
458;617;NÃO
459;618;NÃO
460;619;NÃO
461;620;NÃO
462;621;NÃO
463;622;NÃO
464;623;NÃO
465;624;NÃO
466;625;NÃO
467;626;NÃO
468;627;NÃO
469;628;NÃO
470;629;NÃO
471;630;NÃO
472;631;NÃO
473;632;NÃO
474;633;NÃO
475;634;NÃO
476;636;NÃO
477;637;NÃO
478;638;NÃO
479;639;NÃO
480;640;SIM
481;641;NÃO
482;642;SIM
483;643;NÃO
484;644;NÃO
485;645;NÃO
486;646;NÃO
487;647;NÃO
488;648;NÃO
489;649;NÃO
490;650;NÃO
491;651;NÃO
492;652;SIM
493;653;NÃO
494;654;NÃO
495;655;NÃO
496;656;NÃO
497;657;NÃO
498;658;NÃO
499;659;NÃO
500;660;NÃO
501;661;NÃO
502;662;NÃO
503;663;SIM
504;664;NÃO
505;665;NÃO
506;666;SIM
507;667;NÃO
508;668;NÃO
509;669;SIM
510;670;NÃO
511;671;NÃO
512;672;NÃO
513;673;SIM
514;674;NÃO
515;675;NÃO
516;24141;NÃO
517;676;NÃO
518;677;SIM
519;678;NÃO
520;679;NÃO
521;681;SIM
522;682;NÃO
523;684;NÃO
524;688;NÃO
525;689;NÃO
526;690;NÃO
527;691;NÃO
528;692;SIM
529;693;NÃO
530;694;NÃO
531;695;NÃO
532;696;NÃO
533;697;NÃO
534;698;NÃO
535;699;NÃO
536;700;NÃO
537;701;NÃO
538;702;NÃO
539;703;NÃO
540;706;NÃO
541;707;NÃO
542;708;NÃO
543;709;NÃO
544;710;NÃO
545;711;NÃO
546;712;NÃO
547;713;NÃO
548;714;NÃO
549;715;NÃO
550;716;NÃO
551;717;SIM
552;718;NÃO
553;719;NÃO
554;720;NÃO
555;721;NÃO
556;722;NÃO
557;723;NÃO
558;724;NÃO
559;725;SIM
560;726;NÃO
561;728;NÃO
562;729;SIM
563;730;NÃO
564;731;NÃO
565;732;NÃO
566;733;NÃO
567;734;NÃO
568;735;NÃO
569;736;NÃO
570;737;SIM
571;738;NÃO
572;739;NÃO
573;740;NÃO
574;741;SIM
575;742;NÃO
576;743;NÃO
577;744;NÃO
578;745;NÃO
579;746;SIM
580;747;NÃO
581;748;NÃO
582;749;NÃO
583;750;NÃO
584;751;NÃO
585;752;NÃO
586;753;NÃO
587;754;NÃO
588;755;NÃO
589;756;NÃO
590;757;NÃO
591;758;NÃO
592;759;NÃO
593;760;SIM
594;761;SIM
595;762;NÃO
596;763;NÃO
597;764;NÃO
598;765;NÃO
599;767;NÃO
600;768;SIM
601;769;NÃO
602;770;NÃO
603;771;SIM
604;772;NÃO
605;773;NÃO
606;774;NÃO
607;775;NÃO
608;776;NÃO
609;777;NÃO
610;778;NÃO
611;779;NÃO
612;780;NÃO
613;781;SIM
614;782;NÃO
615;783;NÃO
616;784;SIM
617;785;SIM
618;786;NÃO
619;787;NÃO
620;788;NÃO
621;789;NÃO
622;790;NÃO
623;791;NÃO
624;792;NÃO
625;793;NÃO
626;794;NÃO
627;795;NÃO
628;796;NÃO
629;797;NÃO
630;798;NÃO
631;799;NÃO
632;800;SIM
633;801;NÃO
634;802;NÃO
635;803;NÃO
636;804;NÃO
637;805;NÃO
638;806;SIM
639;807;NÃO
640;808;NÃO
641;809;SIM
642;810;NÃO
643;811;NÃO
644;813;NÃO
645;814;NÃO
646;815;NÃO
647;816;SIM
648;817;NÃO
649;818;NÃO
650;819;NÃO
651;820;SIM
652;821;NÃO
653;822;NÃO
654;823;NÃO
655;824;NÃO
656;825;NÃO
657;826;NÃO
658;827;NÃO
659;828;NÃO
660;829;SIM
661;830;SIM
662;831;SIM
663;832;NÃO
664;833;NÃO
665;834;NÃO
666;835;NÃO
667;836;NÃO
668;837;NÃO
669;838;NÃO
670;839;NÃO
671;840;SIM
672;841;SIM
673;842;NÃO
674;843;NÃO
675;844;NÃO
676;845;NÃO
